date,transits,DWT
21/Jul/2024,108,9.3699999
22/Jul/2024,108,8.6199999
23/Jul/2024,113,9.8500004
24/Jul/2024,109,9.2200003
25/Jul/2024,118,11.32
26/Jul/2024,94,6.6599998
27/Jul/2024,119,10.85
28/Jul/2024,116,9.3900003
29/Jul/2024,121,10.65
30/Jul/2024,106,10.09
31/Jul/2024,104,8.6300001
01/Aug/2024,112,10.22
02/Aug/2024,110,7.75
03/Aug/2024,130,11.25
04/Aug/2024,102,7.5999999
05/Aug/2024,122,10.21
06/Aug/2024,114,9.0500002
07/Aug/2024,113,8.8599997
08/Aug/2024,125,11.85
09/Aug/2024,131,10.06
10/Aug/2024,141,11.74
11/Aug/2024,116,9.5
12/Aug/2024,125,10.86
13/Aug/2024,117,10.25
14/Aug/2024,116,8.5500002
15/Aug/2024,126,11.29
16/Aug/2024,111,9.9499998
17/Aug/2024,111,10.06
18/Aug/2024,106,9.25
19/Aug/2024,126,11.56
20/Aug/2024,109,9.6999998
21/Aug/2024,124,9.9899998
22/Aug/2024,116,8.9799995
23/Aug/2024,120,9.3900003
24/Aug/2024,128,10.97
25/Aug/2024,112,9.0600004
26/Aug/2024,123,9.7700005
27/Aug/2024,131,10.33
28/Aug/2024,131,11.29
29/Aug/2024,117,9
30/Aug/2024,109,10.32
31/Aug/2024,105,8.3100004
01/Sep/2024,112,8.8100004
02/Sep/2024,115,7.4000001
03/Sep/2024,139,11.3
04/Sep/2024,139,11.58
05/Sep/2024,122,10.43
06/Sep/2024,114,10.48
07/Sep/2024,122,9.71
08/Sep/2024,104,9.1599998
09/Sep/2024,125,10.01
10/Sep/2024,123,10.9
11/Sep/2024,107,8.9700003
12/Sep/2024,125,11.34
13/Sep/2024,122,8.9899998
14/Sep/2024,125,11
15/Sep/2024,128,8.6700001
16/Sep/2024,115,9.2600002
17/Sep/2024,119,9.6800003
18/Sep/2024,120,11.35
19/Sep/2024,108,10.49
20/Sep/2024,112,7.1100001
21/Sep/2024,117,8.8599997
22/Sep/2024,126,10.61
23/Sep/2024,146,12.46
24/Sep/2024,122,9.0500002
25/Sep/2024,113,11.48
26/Sep/2024,109,8.3000002
27/Sep/2024,123,8.5
28/Sep/2024,130,9.8000002
29/Sep/2024,111,11.22
30/Sep/2024,120,10.49
01/Oct/2024,120,9.46
02/Oct/2024,137,9.9899998
03/Oct/2024,98,7.3299999
04/Oct/2024,116,9.5
05/Oct/2024,114,11.55
